,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1971-01-04,,,30.29,,,3468.0,,,,9366.9375,,153.54,,,,,,,,,,,,,,142.63,,28.553,,,,,,,3850.75,,,,,,114.02,49.7,,,556.1875,,,11838.125,
1971-01-05,,,30.66,,,3411.0,,,,9366.9375,,153.37,,,,,,,,,,,,,,145.54,,28.479,,,,,,,3826.25,,,,,,117.83,49.49,,,560.875,,,11891.0,
1971-01-06,,,30.48,,,3394.0,,,,9366.9375,,152.55,,,,,,,,,,,,,,139.9,,28.381,,,,,,,3764.9375,,,,,,120.37,49.27,,,559.25,,,11785.25,
1971-01-07,,,30.8,,,3485.0,,,,9299.5,,152.84,,,,,,,,,,,,,,142.04,,28.209,,,,,,,3771.3125,,,,,,116.81,49.03,,,558.8125,,,11750.0,
1971-01-08,,,31.81,,,3377.0,,,,9381.875,,153.08,,,,,,,,,,,,,,141.26,,28.307,,,,,,,3820.375,,,,,,114.78,49.3,,,565.5625,,,11873.375,
1971-01-11,,,32.07,,,3326.0,,,,9366.9375,,153.25,,,,,,,,,,,,,,132.31,,28.355999999999998,,,,,,,3844.875,,,,,,117.83,49.03,,,566.75,,,12040.5,
1971-01-12,,,31.99,,,3377.0,,,,9344.25,,153.31,,,,,,,,,,,,,,129.78,,28.75,,,,,,,3838.5,,,,,,119.1,49.24,,,569.3125,,,12005.25,
1971-01-13,,,32.31,,,3264.0,,,,9322.1875,,153.83,,,,,,,,,,,,,,131.73,,29.021,,,,,,,3801.6875,,,,,,125.95,49.0,,,570.4375,,,12005.25,
1971-01-14,,,32.1,,,3286.0,,,,9381.875,,154.24,,,,,,,,,,,,,,132.7,,29.439,,,,,,,3801.6875,,,,,,123.92,48.97,,,568.625,,,12049.6875,
1971-01-15,,,33.11,,,3247.0,,,,9404.0,,154.18,,,,,,,,,,,,,,131.54,,29.291999999999998,,,,,,,3863.0,,,,,,129.76,49.09,,,580.75,,,12163.9375,
